month,pubs_PHY,Field_PHY,pubs_MATH,Field_MATH,pubs_CS,Field_CS,pubs_BIO,Field_BIO,Month
1,134,PHY,120,Math,102,CS,2,BIO,Jan
2,167,PHY,135,Math,170,CS,6,BIO,Feb
3,244,PHY,139,Math,196,CS,9,BIO,Mar
4,268,PHY,154,Math,188,CS,7,BIO,Apr
5,352,PHY,169,Math,225,CS,12,BIO,May
6,431,PHY,171,Math,233,CS,13,BIO,Jun
7,528,PHY,206,Math,218,CS,17,BIO,Jul
8,518,PHY,170,Math,215,CS,7,BIO,Aug
9,722,PHY,185,Math,258,CS,16,BIO,Sep
10,780,PHY,177,Math,338,CS,19,BIO,Oct
11,638,PHY,197,Math,301,CS,23,BIO,Nov
12,1099,PHY,581,Math,772,CS,55,BIO,Dic
